product_names,Price,Discount,link
Lenovo Yoga Slim 6 Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) 14IAP8 Thin and L...,63669.0,18% off,https://www.flipkart.com/lenovo-yoga-slim-6-intel-core-i5-12th-gen-1240p-16-gb-512-gb-ssd-windows-11-home-14iap8-thin-light-laptop/p/itmae04103d75ff9?pid=COMGTGMTF6BCTA88&lid=LSTCOMGTGMTF6BCTA88B7GBAM&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_cwZYzM3pJOLiNViyyGzPqtwU3Y-_ILBn6DVmy5386f92Je_B7L8Pc8eQwo-m4BUHC6juM3wQUF_Ju2wdrBmUtPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8 Thin a...,71990.0,31% off,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-16irl8-thin-light-laptop/p/itm47961696e0d36?pid=COMGRU9ZJUZQFMKY&lid=LSTCOMGRU9ZJUZQFMKYRNL2AO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_cwZYzM3pJOLiNViyyGzPqtwU3Y-_ILBn6DVmy5386f8wvv3ePbeiXIjRo-gBVEvd8u5KzCyPvxZOPSMiwjwiN_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
Lenovo V15 Intel Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop,19990.0,52% off,https://www.flipkart.com/lenovo-v15-intel-celeron-dual-core-4th-gen-8-gb-256-gb-ssd-windows-11-home-82qya00min-laptop/p/itmdad173c69b235?pid=COMGZNMS5AHPF2GP&lid=LSTCOMGZNMS5AHPF2GPPMPOX7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGZNMS5AHPF2GP.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
ASUS X1502ZA Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ532WS Laptop,45900.0,35% off,https://www.flipkart.com/asus-x1502za-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1502za-ej532ws-laptop/p/itmbfffadd8316a9?pid=COMGPZUFEEC4RJGB&lid=LSTCOMGPZUFEEC4RJGBWQON9T&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGPZUFEEC4RJGB.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
HP AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Laptop,32191.0,31% off,https://www.flipkart.com/hp-amd-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-15s-eq2143au-thin-light-laptop/p/itm59e288d010cef?pid=COMGAX8EEYFKCESS&lid=LSTCOMGAX8EEYFKCESS83R2QP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=s_1_5&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGAX8EEYFKCESS.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 16IAH8 Laptop,62190.0,26% off,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-16iah8-laptop/p/itm16e86970a1665?pid=COMGSC4EZAPZHGTY&lid=LSTCOMGSC4EZAPZHGTYGR6SGO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGSC4EZAPZHGTY.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
Apple 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,73990.0,25% off,https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itm3c872f9e67bc6?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_7&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,16990.0,51% off,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-pro-laptop/p/itm5e1f327988402?pid=COMGQHMZWHRXFWET&lid=LSTCOMGQHMZWHRXFWETVNWSPG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=en_cwZYzM3pJOLiNViyyGzPqtwU3Y-_ILBn6DVmy5386f_5AZUZrWBkga-E85UyBecvWJnrsG9I2vUfcjeGrXMO9w%3D%3D&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Th...,34990.0,44% off,https://www.flipkart.com/zebronics-pro-series-z-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-zeb-nbc-4s-thin-light-laptop/p/itmdbca878761b2d?pid=COMGSZ8NBAHFM3YU&lid=LSTCOMGSZ8NBAHFM3YUBKP98C&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGSZ8NBAHFM3YU.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and...,35990.0,38% off,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itm58722d471ef90?pid=COMGP26H8PHCAMZE&lid=LSTCOMGP26H8PHCAMZEFQNPB4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=AS_Query_TrendingAutoSuggest_4_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_4_0_na_na_na&fm=organic&iid=4b818dcf-05ec-450b-acd7-a6fda4cf2eb8.COMGP26H8PHCAMZE.SEARCH&ppt=None&ppn=None&ssid=ajtgr05nyo0000001714327558538&qH=c06ea84a1e3dc3c6
